Council,CEO NAME,CEO TITLE,MAYOR NAME,MAYOR TITLE,Deputy Mayor,POSTAL,POSTAL SUBURB,PCODE,DX,ADDRESS,SUBURB/ TOWN,CODE,TEL,FAX,EMAIL,WWW SITE,Director,Position Name,SignoffClause
Alpine Shire Council,Mr Charlie Bird,Chief Executive Officer,Cr Sarah Nicholas,Mayor,Cr Katarina Hughes,PO Box 139,BRIGHT,3741, ,Great Alpine Road,BRIGHT,3741,5755 0555,5755 1811,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Alpine Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Ararat Rural City Council,Dr Tim Harrison,Chief Executive Officer,Cr Jo Armstrong,Mayor,Cr Bob Sanders,PO Box 246,ARARAT,3377, ,59 Vincent Street,ARARAT,3377,5355 0200,5352 1695,council@ararat.vic.gov.au,www.ararat.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Ararat Rural City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Ballarat City Council,Mr Evan King,Chief Executive Officer,Cr Daniel Moloney,Mayor,Cr Amy Johnson,PO Box 655,BALLARAT,3353, ,25 Armstrong Street South,BALLARAT,3350,5320 5500,5333 4061,info@ballarat.vic.gov.au,www.ballarat.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Ballarat City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Banyule City Council,Ms Allison Beckwith,Chief Executive Officer,Cr Elizabeth Nealy,Mayor,Cr Alison Champion,PO Box 94,GREENSBOROUGH,3088,DX 97904 Ivanhoe,1 Flintoff Street,GREENSBOROUGH,3088,9490 4222,9499 9475,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Banyule City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Bass Coast Shire Council,Ms Ali Wastie,Chief Executive Officer,Cr Michael Whelan,Mayor,Cr Leticia Laing,PO Box 118,WONTHAGGI,3995,DX 34903 Wonthaggi,76 McBride Avenue,WONTHAGGI,3995,1300 BCOAST (226278) or 5671 2211,5671 2222,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Bass Coast Shire Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Baw Baw Shire Council,Mr Mark Dupe,Chief Executive Officer,Cr Michael Leaney,Mayor,Cr Annemarie McCabe,PO Box 304,WARRAGUL,3820, ,33 Young Street,DROUIN,3818,5624 2411,5622 3654,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au,[Director Name],[Position Name],"Signed by and on behalf of and with the authority of the Baw Baw Shire Council by Mark Dupe, Chief Executive Officer in exercise of a power conferred by an Instrument of Delegation, in the presence of:"
Bayside City Council,Mr Mick Cummins,Chief Executive Officer,Cr Alex del Porto,Mayor,Cr Hanna El Mouallem,PO Box 27,SANDRINGHAM,3191, ,76 Royal Avenue,SANDRINGHAM,3191,9599 4444,9598 4474,enquiries@bayside.vic.gov.au,www.bayside.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Bayside City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Benalla Rural City Council,Mr Dominic Testoni ,Chief Executive Officer,Cr Bernie Hearn,Mayor,Cr Don Firth,PO Box 227,BENALLA,3671,DX 32230 Benalla,1 Bridge Street East,BENALLA,3672,5760 2600,5762 5537,council@benalla.vic.gov.au,www.benalla.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Benalla Rural City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Boroondara City Council,Mr Phillip Storer,Chief Executive Officer,Cr Jane Addis,Mayor,Cr Wes Gault,Private Bag 1,CAMBERWELL,3124,DX 12206 Hawthorn,8 Inglesby Road,CAMBERWELL,3124,9278 4444,9278 4466,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Boroondara City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
Brimbank City Council,Mr Warren Roberts,Interim Chief Executive Officer,Cr Jasmine Nguyen,Mayor,Cr Thuy Dang,PO Box 70,SUNSHINE,3020, ,"Brimbank Community & Civic Centre, 301 Hampshire Rd",SUNSHINE,3020,9249 4000,9249 4351,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au,[Director Name],[Position Name],Signed sealed and delivered by the Director on behalf of Brimbank City Council pursuant to an Instrument of Delegation authorised by Resolution of Council in the presence of:
